Año,Semestre,Código,Nombre,Créditos,Requisito,Rec_cod,Bibliografía
4,VII,IMA-415,Pre-Práctica,5 SCT,Requisito,"IMA-323, IMA-324","Yerena, F., and Pérez, A. C. (2016) Comunicación oral y escrita, Naucalpan de Juárez: Pearson Educación.; Martín, A. D. (2006) Introducción al liderazgo organizacional: Teoría y metodología, Madrid: Librería Editorial Dykinson.; Ferreiro, G. R., and Espino, C. M. (2009) El ABC del aprendizaje cooperativo: Trabajo en equipo para aprender y enseñar, México: Trillas."
4,VII,CFG,Certificación I,6 SCT,Sin requisito,,"No se dispone de bibliografía."
4,VIII,IMA-421,Ecuaciones en Derivadas Parciales,6 SCT,Requisito,IMA-411,"Iorio, V. M., and Instituto de Matemática Pura e Aplicada (Brazil), (2012) EDP: Um curso de graduação, Rio de Janeiro: IMPA.; Evans, L. C. (2010) Partial differential equations, Providence, R.I: American Mathematical Society.; Li, J., and Chen, Y.-T. (2020) Computational partial differential equations using MATLAB®., Boca Raton: London New York CRC Press, Taylor & Francis Group"
4,VIII,IMA-422,Análisis Numérico,7 SCT,Requisito,IMA-411,"Kress, R. (2003) Numerical analysis, Beijing: World Publishing Corporation.; Kincaid, D., and Cheney, W. (2009) Numerical analysis: Mathematics of scientific computing, Providence: American Mathematical Society.; Gerald, C. F., Wheatley, P. O., Villagómez, V. H., & Valle, S. J. C. (2000) Análisis numérico con aplicaciones, México: Pearson Educación."
4,VIII,IMA-423,Optimización Lineal (Hito II),5 SCT,Aprobadas todas las Actividades curriculares del VII semestre,,"Hamdy, T. (2017) Operations Reseach: An Introducction, Upper Saddle River: Pearson Education Limited.; Luenberger, D. G., and Ye, Y. (2016) Linear and nonlinear programming, Cham: Springer.; Thie, P.R. and Keough, G. E. (2008) An Introducction to Linear Programming and Game Theory, New York, N.Y: Wiley-Blackwell."
4,VIII,IMA-424,Procesos Estocásticos,5 SCT,Requisito,IMA-412,"Barbosa R., and Llinás H. (2016) Procesos estocásticos con aplicaciones, Barranquilla Colombia: Universidad del Norte.; Ross S., (2016) Stochastic processes, segunda edición, New Delhi: Wiley India.; Bass R. (2013) Stochastic processes, primera edición, Cambrige: Cambrige University Press."
4,VIII,CFG,Certificación II,5 SCT,Sin requisito,,"No se dispone de bibliografía."
5,IX,IMA-511,Optativo de Profundización I,5 SCT,Sin requisito,,"No se dispone de bibliografía."
5,IX,IMA-512,Laboratorio de Modelación I,5 SCT,Requisito,"IMA-421, IMA-422","Barnes, B. and Fulford, G. (2014) Mathematical Modelling with Case Studies: Using Maple and MATLAB, Boca Raton: CRC Press.; Vande Wouwer A., Saucez Ph., Vilas Fernández C. (2014) Simulation of ODE/PDE Models with MATLAB, OCTAVE and SCILAB: Scientific and Engineering Applications, Cham: Springer International Publishing.; Ramos-Jiliberto, R. (2020) Deja a la estructura hablar. Modelización y análisis de sistemas naturales, sociales y socio-ecológicos, Santiago: Ediciones Universidad Mayor."
5,IX,IMA-513,Optimización no Lineal,5 SCT,Requisito,"IMA-423, IMA-422","Luenberger, D. G., and Ye, Y. (2016) Linear and nonlinear programming, Cham: Springer.; Bazaraa, M. S., Jarvis, J. J., and Sherali, H. D. (2013) Linear Programming and Network Flows, New York, NY John Wiley & Sons.; Birge, J. R., and Louveaux, F. (2011) Introduction to stochastic programming, New York: Springer."
5,IX,IMA-514,Gestión Financiera,5 SCT,Requisito,IMA-424,"Ross, S. A., Westerfield, R., Jaffe, J. F., Jordan, B. D., Gómez, M. A. J., Nagore, G., and Enríquez, G. G. (2018) Finanzas corporativas, Ciudad de México: McGraw-Hill.; Dixit, R. K., Pindyck, R. S. (2012) Investment under uncertainty, Princeton: Princeton university press.; Hull, John (2021) Options, futures, and other derivatives, global edition. S.L.: Pearson education limited."
5,IX,IMA-515,Metodología de la Investigación,5 SCT,Sin requisito,,"Sampieri, C., Fernández, C., Baptista, P. (2010). Metodología de la Investigación. México: McGrawHill.; Paz, G. (2014). Metodología de la investigación, Ciudad de México: Editorial Patria.; Quezada, L. N. (2021) Metodología de la investigación, Madrid: Marcombo."
5,IX,CFG,Certificación III,5 SCT,,,"No se dispone de bibliografía."
5,X,IMA-521,Optativo de Profundización II,5 SCT,Sin requisito,,"No se dispone de bibliografía."
5,X,IMA-522,Laboratorio de Modelación II,8 SCT,Requisito,IMA-512,"Maher, R. A. (2018) Optimal Control Engineering with MATLAB, Hauppauge: Nova Science Publishers, Inc.; Vande Wouwer A., Saucez Ph., Vilas Fernández C. (2014) Simulation of ODE/PDE Models with MATLAB, OCTAVE and SCILAB: Scientific and Engineering Applications, Cham: Springer International Publishing.; Venkataraman, P. (2009) Applied optimization with MATLAB programming, Hoboken, N.J: John Wiley & Sons."
5,X,IMA-523,Evaluación de Proyectos,5 SCT,Requisito,IMA-514,"Vidal K., and González, J. (2015) Proyectos: Evaluación y formulación, Barcelona: Marombo.; Fontaine, E. (2015) Evaluación social de proyectos, Santiago: Alfaomega.; Lara, A. (2018) La evaluación del impacto ambiental. Herramienta fundamental del desarrollo sustentable, Santiago: Alfaomega."
5,X,IMA-524,Seminario de Título I,5 SCT,Requisito,"IMA-514, IMA-515","Hernández, S. R., Fernández, C. C., Baptista, L. P., García, E. M. I., & Limón, C. S. (2010) Fundamentos de metodología de la investigación, Madrid: McGraw-Hill.; Baena, P. G. (2016) Metodología de la investigación, México: Grupo Editorial Patria.; Quezada L. N. (2021). Metodología de la investigación, Madrid: Marcombo."
5,X,IMA-525,Práctica Profesional I,7 SCT,Requisito,IMA-513,"Martín, A. D. (2010) Introducción al liderazgo organizacional: Teoría y metodología (Vol. 46). Librería Editorial Dykinson.; Yerena, F., Pérez, A. C. (2016) Comunicación oral y escrita, Naucalpan de Juárez: Pearson Educación.; Ferreiro, G. R., and Espino, C. M. (2011) El ABC del aprendizaje cooperativo: Trabajo en equipo para aprender y enseñar, México, Distrito Federal: Trillas."
6,XI,IMA-611,Optativo de Profundización III,5 SCT,Sin requisito,,"No se dispone de bibliografía."
6,XI,IMA-612,Seminario de Título II,5 SCT,Requisito,IMA-524,"Hernández, S. R., Fernández, C. C., Baptista, L. P., García, E. M. I., and Limón, C. S. (2010) Fundamentos de metodología de la investigación, Madrid: McGraw-Hill.; Baena, P. G. (2016) Metodología de la investigación, México: Grupo Editorial Patria.; Quezada L. N. (2021) Metodología de la investigación, Madrid: Marcombo."
6,XI,IMA-613,Práctica Profesional II (Hito III),20 SCT,Todas actividades curriculares aprobadas hasta el X semestre.,,"Yerena, F., and Pérez, A. C. (2016) Comunicación oral y escrita, Naucalpan de Juárez: Pearson Educación.; Martín, A. D. (2010) Introducción al liderazgo organizacional: Teoría y metodología, Madrid: Librería Editorial Dykinson.; Ferreiro, G. R., and Espino, C. M. (2009) El ABC del aprendizaje cooperativo: Trabajo en equipo para aprender y enseñar, México: Trillas."
